respondent,index,wkt,geojson,If there w,What would,Are there,General fo,Loss of bi,Loss of co,Loss of _1,Loss of cu,Loss of fo,Loss of _2,Loss of in,responde_8
2iw9kcf9dlc8,3,"POLYGON ((-119.931321 38.300371, -119.931321 38.300371, -119.94712 38.301611, -119.9566 38.301611, -119.980299 38.295411, -119.986619 38.286731, -119.988199 38.269367, -119.978719 38.247035, -119.96608 38.220973, -119.95818 38.202352, -119.9487 38.178758","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.931321,38.300371],[-119.931321,38.300371],[-119.94712,38.301611],[-119.9566,38.301611],[-119.980299,38.295411],[-119.986619,38.286731],[-119.988199,38.269367],[-119.978719,38.247035],[-","[[""38.300371,-119.931321"",""38.300371,-119.931321"",""38.301611,-119.94712"",""38.301611,-119.9566"",""38.295411,-119.980299"",""38.286731,-119.986619"",""38.269367,-119.988199"",""38.247035,-119.978719"",""38.220973,-119.96608"",""38.202352,-119.95818"",""38.178758,-119.9",Downstream sedimentation,"impacts to aquatic habitat, water supply, water quality, recreation, loss biodiversity",,1,,,,,,,non-profit
2iw9kcf9dlc8,4,"POLYGON ((-119.978719 38.66152, -119.978719 38.66152, -119.991359 38.672622, -120.075097 38.68249, -120.161995 38.673856, -120.212553 38.660286, -120.233093 38.649182, -120.248892 38.63067, -120.267852 38.612154, -120.275752 38.593634, -120.255212 38.557","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.978719,38.66152],[-119.978719,38.66152],[-119.991359,38.672622],[-120.075097,38.68249],[-120.161995,38.673856],[-120.212553,38.660286],[-120.233093,38.649182],[-120.248892,38.63067],[-1","[[""38.66152,-119.978719"",""38.66152,-119.978719"",""38.672622,-119.991359"",""38.68249,-120.075097"",""38.673856,-120.161995"",""38.660286,-120.212553"",""38.649182,-120.233093"",""38.63067,-120.248892"",""38.612154,-120.267852"",""38.593634,-120.275752"",""38.557813,-120.",Downstream sedimentation into waterways,"impacts to aquatic habitat, water supply, water quality, recreation, loss biodiversity",,1,,,,,,,non-profit
2iw9kcf9dlc8,5,"POLYGON ((-119.928161 38.811874, -119.936061 38.819261, -119.9487 38.825415, -119.978719 38.824184, -119.991359 38.81803, -119.999259 38.799562, -119.999259 38.76754, -119.988199 38.744131, -119.96766 38.71455, -119.95502 38.704687, -119.936061 38.702221","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.928161,38.811874],[-119.936061,38.819261],[-119.9487,38.825415],[-119.978719,38.824184],[-119.991359,38.81803],[-119.999259,38.799562],[-119.999259,38.76754],[-119.988199,38.744131],[-1","[[""38.811874,-119.928161"",""38.819261,-119.936061"",""38.825415,-119.9487"",""38.824184,-119.978719"",""38.81803,-119.991359"",""38.799562,-119.999259"",""38.76754,-119.999259"",""38.744131,-119.988199"",""38.71455,-119.96766"",""38.704687,-119.95502"",""38.702221,-119.936",Downstream sedimentation into waterways,"impacts to aquatic habitat, water supply, water quality, recreation, loss biodiversity",,1,,,,,,,non-profit
2iw9kcf9dlc8,6,"POLYGON ((-120.534865 39.325842, -120.534865 39.325842, -120.599643 39.302617, -120.623343 39.279384, -120.640722 39.218207, -120.624923 39.153302, -120.594903 39.082205, -120.574364 39.03313, -120.541185 38.968054, -120.514325 38.911525, -120.496946 38.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.534865,39.325842],[-120.534865,39.325842],[-120.599643,39.302617],[-120.623343,39.279384],[-120.640722,39.218207],[-120.624923,39.153302],[-120.594903,39.082205],[-120.574364,39.03313],","[[""39.325842,-120.534865"",""39.325842,-120.534865"",""39.302617,-120.599643"",""39.279384,-120.623343"",""39.218207,-120.640722"",""39.153302,-120.624923"",""39.082205,-120.594903"",""39.03313,-120.574364"",""38.968054,-120.541185"",""38.911525,-120.514325"",""38.874634,-1",Downstream sedimentation into waterways,"impacts to aquatic habitat, water supply, water quality, recreation, loss biodiversity",,1,,,,,,,non-profit
2iw9kcf9dlc8,7,"POLYGON ((-120.109856 39.573505, -120.109856 39.573505, -120.144615 39.56498, -120.199914 39.554017, -120.240993 39.541834, -120.275752 39.533305, -120.286811 39.524774, -120.294711 39.511367, -120.299451 39.488204, -120.299451 39.467472, -120.291551 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.109856,39.573505],[-120.109856,39.573505],[-120.144615,39.56498],[-120.199914,39.554017],[-120.240993,39.541834],[-120.275752,39.533305],[-120.286811,39.524774],[-120.294711,39.511367],","[[""39.573505,-120.109856"",""39.573505,-120.109856"",""39.56498,-120.144615"",""39.554017,-120.199914"",""39.541834,-120.240993"",""39.533305,-120.275752"",""39.524774,-120.286811"",""39.511367,-120.294711"",""39.488204,-120.299451"",""39.467472,-120.299451"",""39.441853,-1",downstream sedimentation into waterways,"impacts to aquatic habitat, water supply, water quality, recreation, loss biodiversity",,1,,,,,,,non-profit
2iw9kcf9dlc8,8,"POLYGON ((-120.831897 39.734074, -120.831897 39.734074, -120.839797 39.743794, -120.852437 39.757156, -120.866656 39.763229, -120.899835 39.765657, -120.920375 39.760799, -120.940914 39.748653, -120.950394 39.741364, -120.961454 39.725569, -120.966194 39","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.831897,39.734074],[-120.831897,39.734074],[-120.839797,39.743794],[-120.852437,39.757156],[-120.866656,39.763229],[-120.899835,39.765657],[-120.920375,39.760799],[-120.940914,39.748653]","[[""39.734074,-120.831897"",""39.734074,-120.831897"",""39.743794,-120.839797"",""39.757156,-120.852437"",""39.763229,-120.866656"",""39.765657,-120.899835"",""39.760799,-120.920375"",""39.748653,-120.940914"",""39.741364,-120.950394"",""39.725569,-120.961454"",""39.696398,-",downstream sedimentation into waterways,"impacts to aquatic habitat, water supply, water quality, recreation, loss biodiversity",,1,,,,,,,non-profit
8ghg4vom3tc7,0,"POLYGON ((-121.149022 39.331417, -121.149022 39.331417, -121.145269 39.331417, -121.134545 39.328514, -121.12275 39.326025, -121.11578 39.323537, -121.10881 39.321463, -121.102912 39.320219, -121.100767 39.320219, -121.09755 39.321463, -121.094333 39.323","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.149022,39.331417],[-121.149022,39.331417],[-121.145269,39.331417],[-121.134545,39.328514],[-121.12275,39.326025],[-121.11578,39.323537],[-121.10881,39.321463],[-121.102912,39.320219],[-","[[""39.331417,-121.149022"",""39.331417,-121.149022"",""39.331417,-121.145269"",""39.328514,-121.134545"",""39.326025,-121.12275"",""39.323537,-121.11578"",""39.321463,-121.10881"",""39.320219,-121.102912"",""39.320219,-121.100767"",""39.321463,-121.09755"",""39.323537,-121.","non private land that NRCS does not have juridication like State, park land, BLM and other non National forest land",Impacts are that due to much more land than the limited personell can manage becomes thick dense forest and a big wildfire hazard.,2,,,,,,,,federal
8ghg4vom3tc7,1,"POLYGON ((-120.706151 39.285783, -120.706151 39.285783, -120.709904 39.285783, -120.722236 39.284953, -120.754406 39.276653, -120.772099 39.267936, -120.789793 39.256313, -120.803733 39.244272, -120.819281 39.235551, -120.834294 39.224753, -120.845553 39","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.706151,39.285783],[-120.706151,39.285783],[-120.709904,39.285783],[-120.722236,39.284953],[-120.754406,39.276653],[-120.772099,39.267936],[-120.789793,39.256313],[-120.803733,39.244272]","[[""39.285783,-120.706151"",""39.285783,-120.706151"",""39.285783,-120.709904"",""39.284953,-120.722236"",""39.276653,-120.754406"",""39.267936,-120.772099"",""39.256313,-120.789793"",""39.244272,-120.803733"",""39.235551,-120.819281"",""39.224753,-120.834294"",""39.217692,-","non private land that NRCS does not have juridication like State, park land, BLM and other non National forest land",,,,,,,,,,federal
8ghg4vom3tc7,2,"POLYGON ((-120.759231 39.444957, -120.759231 39.444957, -120.764057 39.447856, -120.769418 39.450754, -120.771027 39.451996, -120.780142 39.453238, -120.791401 39.454066, -120.803197 39.451582, -120.82089 39.447442, -120.834294 39.444129, -120.849307 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.759231,39.444957],[-120.759231,39.444957],[-120.764057,39.447856],[-120.769418,39.450754],[-120.771027,39.451996],[-120.780142,39.453238],[-120.791401,39.454066],[-120.803197,39.451582]","[[""39.444957,-120.759231"",""39.444957,-120.759231"",""39.447856,-120.764057"",""39.450754,-120.769418"",""39.451996,-120.771027"",""39.453238,-120.780142"",""39.454066,-120.791401"",""39.451582,-120.803197"",""39.447442,-120.82089"",""39.444129,-120.834294"",""39.441645,-1","non private land that NRCS does not have juridication like State, park land, BLM and other non National forest land",,,,,,,,,,federal
2rz8ets79ao6,0,"POLYGON ((-119.804389 38.552637, -119.804389 38.552637, -119.810096 38.55092, -119.814486 38.550234, -119.819754 38.548517, -119.823266 38.547144, -119.824583 38.5468, -119.827656 38.546114, -119.828973 38.546114, -119.834241 38.54577, -119.837753 38.545","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.804389,38.552637],[-119.804389,38.552637],[-119.810096,38.55092],[-119.814486,38.550234],[-119.819754,38.548517],[-119.823266,38.547144],[-119.824583,38.5468],[-119.827656,38.546114],[-","[[""38.552637,-119.804389"",""38.552637,-119.804389"",""38.55092,-119.810096"",""38.550234,-119.814486"",""38.548517,-119.819754"",""38.547144,-119.823266"",""38.5468,-119.824583"",""38.546114,-119.827656"",""38.546114,-119.828973"",""38.54577,-119.834241"",""38.545084,-119.","smoke, wild fire, erosion caused after wild fire by water moving burned soil and debris.",Hikers can be caught unaware of wild fire nearby and be unable to escape. State or federal officials would need to rescue hikers caught out there. High costs for rescues.,,,,,,,,,non-profit
9kg8uaz779t6,0,"POLYGON ((-121.359145 39.320328, -121.359145 39.320328, -121.359913 39.319734, -121.361448 39.328939, -121.372964 39.347049, -121.379106 39.367826, -121.381025 39.38919, -121.381025 39.407877, -121.379874 39.423298, -121.376419 39.433676, -121.37258 39.4","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.359145,39.320328],[-121.359145,39.320328],[-121.359913,39.319734],[-121.361448,39.328939],[-121.372964,39.347049],[-121.379106,39.367826],[-121.381025,39.38919],[-121.381025,39.407877],","[[""39.320328,-121.359145"",""39.320328,-121.359145"",""39.319734,-121.359913"",""39.328939,-121.361448"",""39.347049,-121.372964"",""39.367826,-121.379106"",""39.38919,-121.381025"",""39.407877,-121.381025"",""39.423298,-121.379874"",""39.433676,-121.376419"",""39.441384,-1",Loss of residential property,"Economic hardship, loss of community",,,,2,,,,,non-profit
